timestamp,index,temperature_gpu,utilization_gpu,utilization_memory,memory_used,power_draw,clocks_sm
2026/09/14 15:53:17.393, 0, 46, 100, 4, 429, 134.19, 1911
2026/09/14 15:53:17.399, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 15:53:18.431, 0, 46, 100, 4, 429, 109.16, 1911
2026/09/14 15:53:18.433, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:19.466, 0, 46, 100, 4, 429, 85.21, 1911
2026/09/14 15:53:19.468, 1, 18, 0, 0, 5, 9.03, 139
2026/09/14 15:53:20.504, 0, 46, 100, 5, 429, 126.38, 1911
2026/09/14 15:53:20.507, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:21.539, 0, 46, 100, 4, 429, 132.87, 1911
2026/09/14 15:53:21.542, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:53:22.576, 0, 46, 100, 5, 429, 89.51, 1911
2026/09/14 15:53:22.578, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:23.613, 0, 46, 100, 4, 429, 104.44, 1911
2026/09/14 15:53:23.616, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:24.649, 0, 46, 100, 5, 429, 140.61, 1911
2026/09/14 15:53:24.652, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:25.684, 0, 46, 100, 5, 429, 97.85, 1911
2026/09/14 15:53:25.688, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:26.722, 0, 46, 100, 5, 429, 111.15, 1911
2026/09/14 15:53:26.725, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:27.758, 0, 46, 100, 5, 429, 104.83, 1911
2026/09/14 15:53:27.762, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:28.796, 0, 46, 100, 5, 429, 106.76, 1911
2026/09/14 15:53:28.798, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:29.831, 0, 46, 100, 4, 429, 122.43, 1911
2026/09/14 15:53:29.835, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:30.870, 0, 46, 100, 5, 429, 101.17, 1911
2026/09/14 15:53:30.873, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:31.908, 0, 47, 100, 4, 429, 104.48, 1911
2026/09/14 15:53:31.911, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:53:32.944, 0, 46, 100, 5, 429, 140.45, 1911
2026/09/14 15:53:32.947, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:33.981, 0, 47, 100, 5, 429, 101.43, 1911
2026/09/14 15:53:33.983, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:53:35.016, 0, 46, 100, 5, 429, 104.72, 1911
2026/09/14 15:53:35.030, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 15:53:36.067, 0, 46, 100, 5, 429, 127.79, 1911
2026/09/14 15:53:36.070, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:37.107, 0, 46, 100, 5, 429, 100.14, 1911
2026/09/14 15:53:37.110, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:53:38.142, 0, 47, 100, 4, 429, 105.89, 1911
2026/09/14 15:53:38.146, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:53:39.182, 0, 47, 100, 5, 429, 134.09, 1911
2026/09/14 15:53:39.185, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:53:40.217, 0, 47, 100, 4, 429, 101.92, 1911
2026/09/14 15:53:40.220, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:41.255, 0, 47, 100, 5, 429, 109.94, 1911
2026/09/14 15:53:41.257, 1, 18, 0, 0, 5, 9.32, 139
2026/09/14 15:53:42.289, 0, 47, 100, 4, 429, 123.01, 1911
2026/09/14 15:53:42.292, 1, 18, 0, 0, 5, 8.55, 139
2026/09/14 15:53:43.324, 0, 47, 100, 5, 429, 101.35, 1911
2026/09/14 15:53:43.328, 1, 17, 0, 0, 5, 8.69, 139
2026/09/14 15:53:44.360, 0, 47, 100, 4, 429, 131.94, 1911
2026/09/14 15:53:44.363, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:45.394, 0, 47, 100, 4, 429, 107.96, 1911
2026/09/14 15:53:45.398, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:53:46.433, 0, 47, 100, 5, 429, 84.00, 1911
2026/09/14 15:53:46.436, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:47.469, 0, 47, 100, 5, 429, 133.11, 1911
2026/09/14 15:53:47.472, 1, 18, 0, 0, 5, 9.03, 139
2026/09/14 15:53:48.504, 0, 47, 100, 5, 429, 127.63, 1911
2026/09/14 15:53:48.507, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:49.539, 0, 47, 100, 5, 429, 90.06, 1911
2026/09/14 15:53:49.542, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:50.577, 0, 47, 100, 5, 429, 104.91, 1911
2026/09/14 15:53:50.580, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:51.613, 0, 46, 100, 4, 429, 140.44, 1911
2026/09/14 15:53:51.616, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:52.647, 0, 47, 100, 4, 429, 100.11, 1911
2026/09/14 15:53:52.650, 1, 18, 0, 0, 5, 9.13, 139
2026/09/14 15:53:53.683, 0, 47, 100, 4, 429, 115.39, 1911
2026/09/14 15:53:53.686, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:54.719, 0, 47, 100, 5, 429, 99.97, 1911
2026/09/14 15:53:54.722, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:53:55.754, 0, 47, 100, 3, 429, 104.95, 1911
2026/09/14 15:53:55.757, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:53:56.790, 0, 47, 100, 4, 429, 145.24, 1911
2026/09/14 15:53:56.792, 1, 18, 0, 0, 5, 9.37, 139
2026/09/14 15:53:57.825, 0, 47, 100, 5, 429, 103.50, 1911
2026/09/14 15:53:57.828, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:58.861, 0, 47, 100, 5, 429, 115.29, 1911
2026/09/14 15:53:58.864, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:53:59.896, 0, 47, 100, 5, 429, 104.20, 1911
2026/09/14 15:53:59.899, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:54:00.938, 0, 47, 100, 5, 429, 102.50, 1898
2026/09/14 15:54:00.946, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:54:01.979, 0, 47, 100, 5, 429, 120.56, 1898
2026/09/14 15:54:01.982, 1, 18, 0, 0, 5, 8.69, 139
2026/09/14 15:54:03.014, 0, 47, 100, 5, 429, 104.52, 1898
2026/09/14 15:54:03.021, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:54:04.054, 0, 47, 100, 5, 429, 84.58, 1898
2026/09/14 15:54:04.058, 1, 18, 0, 0, 5, 8.89, 139
2026/09/14 15:54:05.096, 0, 47, 100, 4, 429, 102.21, 1898
2026/09/14 15:54:05.098, 1, 18, 0, 0, 5, 8.79, 139
2026/09/14 15:54:06.130, 0, 47, 100, 4, 429, 130.72, 1898
